numDots,subdomainLevel,pathLevel,urlLength,numDash,numUnderscore,numPercent,numQueryComponents,numApersand,numDigits,https,ipAddress,hostnameLength,pathLength,queryLength,type
2,0,3,47,0,0,0,0,0,2,1,0,13,27,0,0
3,1,2,49,1,0,0,0,0,5,1,0,20,21,0,1
2,1,1,46,0,2,0,0,0,0,0,0,20,19,0,0
1,0,2,36,0,0,0,0,0,0,0,0,9,20,0,0
2,1,2,67,1,0,0,0,0,4,1,0,24,36,0,0
1,0,2,96,10,0,0,0,0,5,1,0,9,79,0,0
4,2,4,63,0,2,0,0,0,1,1,0,18,38,0,1
3,0,2,113,0,0,0,2,1,26,0,0,15,17,73,1
3,1,3,76,0,0,2,2,1,5,1,0,16,12,40,0
2,0,4,77,3,2,0,0,0,15,1,0,18,52,0,0
4,1,1,126,0,3,0,7,6,4,0,0,21,10,87,1
2,1,3,88,7,0,0,0,0,15,1,0,18,63,0,0
1,0,2,121,11,0,0,0,0,0,1,0,12,102,0,0
4,1,2,45,1,0,0,0,0,0,1,0,16,22,0,1
3,0,2,916,0,0,0,1,0,125,0,0,15,13,880,1
2,0,1,40,0,0,0,0,0,1,0,0,24,9,0,0
1,0,0,21,0,0,0,0,0,0,0,0,13,1,0,0
3,1,3,38,0,0,0,0,0,0,0,0,12,19,0,1
3,0,3,72,0,1,0,2,1,4,1,0,10,36,18,1
3,2,3,40,0,0,0,0,0,0,0,0,12,21,0,1
4,0,1,33,0,0,0,0,0,15,0,1,19,7,0,1
2,0,2,43,0,0,0,0,0,3,1,0,12,23,0,1
3,0,2,920,0,0,0,1,0,130,0,0,15,13,884,1
2,1,2,41,0,1,0,0,0,0,1,0,16,18,0,0
4,1,3,74,0,0,0,1,0,5,0,0,18,29,19,1
1,0,1,29,0,0,0,0,0,0,0,0,10,12,0,0
1,0,4,89,2,0,4,0,0,8,1,0,17,65,0,0
1,0,0,24,0,0,0,0,0,0,0,0,16,1,0,0
2,0,2,52,0,0,0,0,0,0,1,0,18,27,0,0
8,4,3,112,1,0,0,4,3,1,0,0,26,20,58,0
1,0,5,84,3,0,0,0,0,29,1,0,10,67,0,0
3,1,3,59,1,0,0,0,0,4,0,0,21,31,0,1
2,1,2,52,0,1,2,0,0,2,1,0,16,29,0,0
4,1,1,87,0,1,0,4,3,6,0,0,20,10,49,1
2,1,1,39,0,0,0,0,0,0,0,0,22,10,0,0
1,0,3,107,8,0,0,0,0,6,0,0,7,93,0,0
2,0,2,44,0,0,0,0,0,4,1,0,12,24,0,1
4,0,1,29,0,0,0,0,0,10,0,1,13,9,0,1
1,0,3,37,0,0,0,0,0,12,1,0,8,22,0,0
2,0,2,89,0,1,0,1,0,0,1,0,8,13,60,0
1,0,2,33,0,0,0,0,0,4,1,0,12,13,0,1
3,1,2,48,0,0,0,0,0,0,0,0,23,18,0,1
2,0,2,45,0,0,0,0,0,0,0,0,13,25,0,0
2,0,2,48,2,0,0,0,0,1,0,0,13,28,0,0
4,0,1,35,0,0,0,0,0,17,0,1,21,7,0,1
3,1,1,35,0,0,0,0,0,1,1,0,17,11,0,1
4,1,4,58,0,0,0,0,0,12,1,0,30,21,0,1
4,1,4,60,0,0,0,0,0,13,1,0,31,22,0,1
1,0,3,127,7,2,0,3,2,8,1,0,13,73,33,0
3,1,1,52,2,0,0,0,0,0,0,0,32,13,0,1
4,1,4,51,0,0,0,0,0,13,0,0,22,22,0,1
1,0,1,25,0,0,0,0,0,8,1,0,9,9,0,0
3,0,1,100,0,1,2,2,1,12,1,0,9,10,73,0
3,1,2,85,4,0,0,0,0,0,0,0,26,52,0,1
1,0,1,34,0,0,0,0,0,0,1,0,21,6,0,0
2,0,3,55,0,0,0,0,0,8,0,0,10,38,0,0
2,1,1,33,0,0,0,0,0,0,1,0,13,13,0,1
2,0,1,134,10,1,0,6,5,35,0,0,10,10,106,1
3,1,1,42,1,0,0,0,0,0,1,0,19,16,0,1
2,1,0,50,1,0,0,0,0,0,0,0,42,1,0,1
3,1,3,56,0,0,0,0,0,0,1,0,21,28,0,1
4,0,1,32,0,0,0,0,0,14,0,1,18,7,0,1
2,0,3,56,0,3,0,0,0,10,0,0,11,38,0,0
3,1,2,60,2,0,0,1,0,2,1,0,23,21,8,1
2,1,2,95,0,0,0,3,2,12,1,0,15,15,57,1
3,2,1,37,0,0,0,0,0,0,1,0,25,5,0,0
4,1,1,45,0,0,0,1,0,3,0,0,15,13,9,1
2,0,3,99,8,0,0,0,0,0,1,0,15,77,0,0
1,0,4,117,6,4,0,1,0,8,1,0,22,56,31,0
1,0,1,27,0,0,0,0,0,0,0,0,10,10,0,0
8,1,2,118,2,0,0,2,1,2,0,0,18,17,75,1
1,0,2,78,8,0,0,0,0,0,0,0,11,60,0,1
2,1,0,32,1,0,0,0,0,0,0,0,24,1,0,0
2,1,1,33,0,0,0,0,0,0,0,0,17,9,0,1
4,0,1,32,0,0,0,0,0,14,0,1,18,7,0,1
3,1,6,103,1,2,0,0,0,20,1,0,14,81,0,1
4,1,1,85,0,1,0,4,3,5,1,0,22,10,45,1
2,0,4,73,5,1,0,1,0,5,1,0,8,44,13,0
1,0,4,105,10,0,0,0,0,12,0,0,20,78,0,0
3,0,1,40,0,0,0,0,0,0,0,0,21,12,0,0
3,0,1,105,0,1,0,6,5,10,0,0,13,10,74,1
1,0,3,59,4,0,0,0,0,10,1,0,10,42,0,0
1,0,2,78,0,0,0,0,0,8,0,0,20,51,0,0
3,1,2,52,1,0,0,0,0,5,1,0,20,24,0,1
3,1,2,55,2,0,0,0,0,9,1,0,19,29,0,0
12,11,3,317,1,0,0,0,0,121,0,0,209,101,0,0
3,1,1,36,0,0,0,0,0,0,0,0,15,14,0,1
2,1,2,41,0,1,0,0,0,0,1,0,16,18,0,0
3,0,2,1304,0,0,0,1,0,189,0,0,15,13,1268,1
2,1,2,75,5,0,0,0,0,7,1,0,24,44,0,0
2,1,1,80,2,1,0,2,1,4,1,0,16,3,52,1
1,0,0,22,0,0,0,0,0,0,0,0,14,1,0,0
3,2,4,96,1,0,0,0,0,0,1,0,16,73,0,0
4,0,1,30,0,0,0,0,0,16,0,1,20,3,0,1
2,0,2,40,0,0,0,0,0,1,1,0,13,20,0,1
2,0,2,41,0,0,0,0,0,9,1,0,12,21,0,1
2,0,2,41,0,0,0,0,0,9,1,0,12,21,0,1
2,0,2,39,0,0,0,0,0,4,1,0,14,17,0,1
1,0,0,19,1,0,0,0,0,0,1,0,12,0,0,1
4,0,1,35,0,0,0,0,0,17,0,1,21,7,0,1
1,0,1,38,0,0,0,1,0,2,1,0,11,6,13,0
3,0,2,52,0,0,0,1,0,9,0,0,11,22,11,1
5,1,2,50,0,0,0,0,0,3,0,0,21,22,0,0
1,0,4,267,5,0,76,0,0,92,0,0,9,251,0,0
1,0,2,37,0,0,0,0,0,3,0,0,13,17,0,0
3,0,1,132,0,3,4,6,5,15,0,0,13,10,101,1
1,0,2,28,1,0,0,0,0,0,0,0,12,9,0,0
4,0,1,35,0,0,0,0,0,17,0,1,21,7,0,1
2,0,7,104,2,4,0,0,0,23,1,0,12,85,0,1
1,0,2,33,0,0,0,0,0,0,1,0,12,13,0,1
2,0,1,45,2,0,0,0,0,0,0,0,15,23,0,0
3,0,2,108,0,0,0,7,6,7,0,0,10,17,73,1
2,0,5,119,12,0,0,0,0,9,1,0,23,89,0,0
2,0,4,49,0,0,0,0,0,5,0,0,16,26,0,0
1,0,0,19,0,0,0,0,0,0,0,0,12,0,0,1
4,1,1,39,0,0,0,0,0,0,0,0,26,6,0,1
4,1,4,52,0,0,0,0,0,13,1,0,23,22,0,1
4,0,1,34,0,0,0,0,0,16,0,1,20,7,0,1
4,1,2,125,12,0,0,0,0,0,0,0,24,94,0,1
4,0,2,46,0,1,0,0,0,11,0,1,13,26,0,1
1,0,4,64,3,0,0,0,0,0,1,0,10,47,0,0
2,0,2,67,0,0,0,0,0,18,0,0,18,42,0,1
6,3,0,74,0,1,0,1,0,0,0,0,33,1,32,0
1,0,2,33,0,0,0,0,0,2,1,0,12,13,0,1
2,0,1,35,0,0,0,0,0,0,0,0,17,11,0,0
3,1,2,36,1,0,0,0,0,2,0,0,15,14,0,1
2,0,1,54,0,0,0,3,2,1,0,0,20,13,13,0
2,1,2,64,0,2,0,0,0,0,1,0,18,39,0,0
2,0,2,42,0,0,0,0,0,0,0,0,13,22,0,0
4,0,2,37,0,0,0,0,0,14,0,1,14,16,0,1
3,1,10,155,0,0,0,0,0,24,0,0,19,129,0,0
2,1,6,98,2,0,0,0,0,18,1,0,20,71,0,1
3,0,1,27,0,0,0,0,0,11,0,1,13,7,0,1
1,0,4,42,0,0,0,0,0,0,0,0,12,23,0,0
2,0,2,68,0,0,2,1,0,5,0,0,21,18,21,0
1,0,3,54,0,0,0,1,0,15,1,0,12,27,7,0
1,0,0,24,0,0,0,0,0,0,0,0,17,0,0,1
3,2,2,41,0,0,0,0,0,0,0,0,21,13,0,1
1,0,5,53,1,0,0,0,0,6,0,0,12,34,0,0
2,0,1,34,1,0,0,0,0,3,0,0,9,18,0,0
2,0,5,176,0,0,0,1,0,93,1,0,13,91,64,0
1,0,0,27,0,0,0,0,0,0,0,0,19,1,0,0
1,0,3,52,3,0,0,0,0,8,1,0,16,29,0,0
2,0,1,43,0,1,0,0,0,0,1,0,22,14,0,0
4,2,4,72,0,0,0,0,0,12,0,0,31,34,0,0
1,0,1,36,0,0,0,0,0,0,0,0,11,18,0,0
2,0,1,33,0,0,0,0,0,2,0,0,13,13,0,0
2,0,1,73,0,0,0,3,2,2,0,0,16,10,39,0
3,0,4,75,3,0,0,0,0,0,0,0,17,51,0,1
2,1,0,37,0,0,0,0,0,0,1,0,29,1,0,0
1,0,0,27,0,0,0,0,0,0,0,0,19,1,0,0
3,0,2,55,0,2,0,0,0,0,0,0,10,38,0,0
2,1,0,39,2,0,0,0,0,7,0,0,32,0,0,1
2,1,0,45,2,0,0,0,0,0,0,0,37,1,0,0
1,0,3,91,6,0,0,0,0,6,0,0,24,60,0,0
3,1,3,50,0,0,0,0,0,4,1,0,15,28,0,1
4,1,2,51,3,0,0,0,0,0,0,0,16,28,0,1
4,0,1,33,0,0,0,0,0,15,0,1,19,7,0,1
2,1,4,88,3,1,0,1,0,7,1,0,21,41,18,0
3,1,1,88,0,1,0,5,4,5,0,0,14,10,56,1
3,1,2,52,0,1,0,1,0,2,1,0,14,15,15,1
2,0,2,53,0,0,0,1,0,5,1,0,20,17,8,0
4,2,0,36,0,0,0,0,0,0,0,0,28,1,0,0
1,0,2,43,1,0,0,0,0,0,0,0,21,15,0,0
3,1,1,35,0,0,0,0,0,0,1,0,17,11,0,1
4,2,1,42,0,0,0,0,0,0,1,0,25,10,0,1
2,1,1,54,0,0,0,3,2,10,1,0,16,5,25,0
3,1,2,46,0,0,0,0,0,0,1,0,27,12,0,1
2,0,4,59,0,0,0,0,0,6,1,0,9,43,0,0
2,0,3,113,0,0,0,4,3,13,1,1,6,33,66,0
2,0,2,50,0,0,0,0,0,0,0,0,26,17,0,1
1,0,0,18,0,0,0,0,0,0,0,0,11,0,0,1
4,0,2,42,0,0,0,0,0,9,0,1,11,24,0,1
